1;23;1;3;;;2;;1;27;30;29;47;75;80;90;95;81;79;95;88;98;85;94;87
2;17;2;2;;;;;2;75;72;90;80;84;;100;70;80;90;90;80;80;100;100;80
3;18;2;1;;;1;;7;22;83;80;12;;70;60;80;90;80;90;90;100;100;90;80
4;18;2;2;2;;2;;5;75;13;15;19;90;100;90;60;100;90;80;70;80;100;100;100
5;18;2;2;2;;2;;4;41;51;96;80;19;70;70;70;90;80;100;80;80;70;70;70
6;18;2;1;2;;3;88;2;72;86;23;80;2;75;80;60;60;70;80;100;70;60;80;90
7;20;1;2;1;;1;;11;15;63;38;;46;70;80;80;80;70;80;70;70;80;90;80
8;17;1;3;;;2;;1;47;27;68;77;80;65;65;99;80;95;100;95;100;75;100;100
9;18;2;2;2;;2;;2;90;75;15;;18;88;90;90;100;70;70;80;90;70;100;80
10;18;1;1;;;3;92;2;19;38;29;23;15;60;60;60;60;60;80;70;70;80;80;70
11;20;1;3;1;;3;88;7;80;88;13;;;80;60;70;60;70;100;80;90;100;100;100
12;16;2;1;2;;1;;5;23;10;88;90;13;83;75;100;80;80;100;86;95;94;80;100
13;17;1;4;2;26;2;;7;75;69;97;46;;80;58;78;68;70;96;80;89;70;80;94
14;17;2;2;;;;;1;63;19;75;26;;70;80;90;86;88;79;90;80;84;80;90
15;17;2;2;2;;2;;7;23;18;80;43;19;80;100;90;70;65;100;70;100;100;100;40
16;17;2;1;2;;2;;4;30;22;51;72;84;85;80;85;98;80;80;90;90;70;100;100
17;19;2;3;1;;3;92;2;20;11;16;18;63;90;70;80;70;70;80;80;70;90;90;90
18;18;2;1;2;;1;;5;19;29;23;90;20;90;83;80;82;87;87;87;93;78;85;80
19;16;2;1;2;;2;;1;26;22;63;68;90;89;88;98;84;85;85;93;96;85;86;90
20;18;2;1;3;27;3;92;1;26;29;19;63;13;100;90;100;90;80;100;100;100;100;90;80
21;18;1;2;2;;3;88;1;6;17;90;34;47;80;80;80;70;80;100;80;80;90;90;80
22;21;2;2;2;;2;;5;16;72;63;;;75;85;60;90;95;80;83;78;78;83;82
23;18;1;1;;;3;88;4;15;75;19;13;63;80;80;70;90;90;90;80;70;70;90;90
24;21;1;1;;;;;4;22;13;28;41;19;70;80;63;73;85;;65;63;75;80;90
25;18;1;3;1;;2;;7;17;27;82;30;;60;70;80;60;90;;90;100;70;70;80
26;17;2;4;3;35;3;16;7;52;30;28;20;;73;69;65;71;70;99;75;80;72;100;85
27;17;2;4;2;;3;63;7;80;80;75;26;19;70;60;60;60;60;68;85;90;98;100;90
28;17;1;4;3;35;3;68;1;35;42;19;;;70;75;68;75;60;90;70;75;66;70;70
29;17;1;4;3;35;2;;1;35;63;43;;;50;60;70;60;45;85;65;60;50;70;80
30;18;1;4;2;;1;;1;52;27;42;;;65;70;75;60;50;80;70;65;65;75;80
31;17;2;;;;2;;2;19;75;16;;;85;65;60;75;70;100;80;80;75;95;100
32;17;1;4;3;80;3;63;4;75;63;69;80;68;85;74;75;90;82;80;80;82;75;85;75
33;18;1;4;2;;3;46;5;75;13;19;68;;80;70;70;80;80;90;70;80;90;90;70
34;18;1;3;3;;3;86;1;38;29;33;;;70;80;85;80;65;90;65;70;80;90;80
35;17;1;;2;57;2;;7;84;80;76;86;;70;60;70;80;80;100;90;80;90;100;90
36;17;2;4;3;43;3;17;4;19;75;13;;;90;74;78;90;93;75;83;87;90;95;95
37;17;2;4;3;13;2;;5;20;23;13;19;;85;75;75;80;85;100;80;80;85;90;80
38;17;1;4;3;28;3;80;9;43;51;30;;;50;40;50;60;50;80;60;60;50;70;70
39;18;2;4;3;63;3;16;2;19;75;20;90;16;70;70;70;70;80;70;60;70;90;60;80
40;17;1;2;;;2;;4;29;63;68;35;;92;90;100;80;80;90;90;90;80;60;90
41;18;2;4;2;;2;;2;20;75;63;13;27;85;80;100;75;97;93;100;90;80;60;80
42;17;1;2;;;2;;1;34;30;40;27;;72;76;90;80;68;90;76;95;95;62;96
43;18;1;1;;;;;11;63;34;86;96;;65;50;68;63;65;70;25;75;63;63;60
44;20;2;2;1;;1;;7;90;80;96;;;71;70;71;52;57;64;81;78;82;71;78
45;17;1;2;2;;3;63;11;15;46;63;27;11;80;80;90;70;80;90;70;100;90;60;70
46;17;1;3;2;;2;;1;30;38;15;;;74;53;78;63;73;76;82;86;81;66;71
